"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f2x7r2a472k085ae.pdf","CGA4F2X7R2A472K085AE Equiv. C2012X7R2A472K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","2.0mm x 1.25mm [EIA 0805]","1","4.7nF","±10%","100","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f2x7r2a472m085ae.pdf","CGA4F2X7R2A472M085AE Equiv. C2012X7R2A472M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","2.0mm x 1.25mm [EIA 0805]","1","4.7nF","±20%","100","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f2x8r1e154k085ad.pdf","CGA4F2X8R1E154K085AD Equiv. C2012X8R1E154K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1","150nF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f2x8r1e154k085ae.pdf","CGA4F2X8R1E154K085AE Equiv. C2012X8R1E154K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","2.0mm x 1.25mm [EIA 0805]","1","150nF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f2x8r1e154m085ad.pdf","CGA4F2X8R1E154M085AD Equiv. C2012X8R1E154M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1","150nF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f2x8r1e154m085ae.pdf","CGA4F2X8R1E154M085AE Equiv. C2012X8R1E154M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","2.0mm x 1.25mm [EIA 0805]","1","150nF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f2x8r2a103k085ad.pdf","CGA4F2X8R2A103K085AD Equiv. C2012X8R2A103K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) High Temperature Application Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1","10nF","±10%","100","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f2x8r2a103m085ad.pdf","CGA4F2X8R2A103M085AD Equiv. C2012X8R2A103M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) High Temperature Application Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1","10nF","±20%","100","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f3c0g2e102j085aa.pdf","CGA4F3C0G2E102J085AA Equiv. C2012C0G2E102J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","2.0mm x 1.25mm [EIA 0805]","1","1nF","±5%","250","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4f3c0g2e122j085aa.pdf","CGA4F3C0G2E122J085AA Equiv. C2012C0G2E122J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","2.0mm x 1.25mm [EIA 0805]","1","1.2nF","±5%","250","C0G","-55 to 125","0±30ppm/°C","YES"
